A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,#,1.0,1.0,#,0.0,#,#,0.0,1.0,#,0.0,0.2373046875,0.75,1,73.11361174173454,4994,1866,0.45454545454545453,0.000899015294932592,87,116
0.0,1.0,#,#,1.0,0.0,#,#,#,#,#,0.0,0.202266658350261,0.7264150943396226,1,81.27085738395849,4976,1870,0.36363636363636365,0.000999317939299092,154,212
0.0,#,#,1.0,1.0,#,1.0,0.0,#,#,0.0,1.0,0.5378028459362139,0.8833333333333333,2,78.96469201501682,4808,1872,0.5454545454545454,0.001941922008501162,53,60
0.0,1.0,#,#,#,1.0,1.0,#,#,#,#,1.0,1.0,1.0,11,82.7878627966756,4962,1896,0.36363636363636365,0.01119768377290524,210,210
0.0,1.0,#,1.0,#,1.0,#,#,#,#,#,1.0,0.2454868426366091,0.7551020408163265,1,74.42150692621719,4980,1916,0.36363636363636365,0.0009150973588193006,148,196
#,#,#,1.0,1.0,#,1.0,#,0.0,1.0,#,1.0,0.1351164144281094,0.6701030927835051,1,83.14917423409435,4922,1933,0.45454545454545453,0.0010224139885404652,65,97
1.0,#,#,#,#,#,0.0,#,#,1.0,1.0,1.0,0.1656667507480191,0.697986577181208,1,67.60593493103862,4974,1936,0.36363636363636365,0.0008312921230853066,104,149
0.0,1.0,0.0,#,#,1.0,#,#,#,#,#,1.0,1.0,1.0,14,78.52841248221928,4980,1944,0.36363636363636365,0.01351835029306706,184,184
1.0,0.0,#,#,1.0,0.0,#,#,0.0,#,#,0.0,0.27374904127793337,0.7717391304347826,1,68.16079067391345,4940,1976,0.45454545454545453,0.0008381147076553002,71,92
1.0,#,0.0,#,#,1.0,#,1.0,#,#,#,1.0,0.2373046875,0.75,1,68.15989509295976,4959,1982,0.36363636363636365,0.0016762073909308427,132,176
0.0,#,0.0,#,#,0.0,#,#,#,#,#,0.0,0.2438596708938226,0.7540983606557377,3,78.16171120253391,4976,1986,0.2727272727272727,0.002883262316354899,276,366
1.0,#,1.0,0.0,#,0.0,#,#,#,1.0,0.0,0.0,0.26364723082896674,0.7659574468085106,1,65.31747649296742,4998,2016,0.5454545454545454,0.0008041288489070445,36,47
1.0,0.0,#,0.0,#,#,1.0,#,0.0,#,#,0.0,0.39738234240994386,0.8314606741573034,2,87.37144973250449,4960,2036,0.45454545454545453,0.0021486633686602277,74,89
0.0,0.0,#,1.0,1.0,#,#,#,#,#,#,1.0,1.0,1.0,7,78.4362840124023,4953,2050,0.36363636363636365,0.006751245373808071,183,183
#,0.0,1.0,0.0,#,#,#,#,1.0,#,#,1.0,0.22691644371591016,0.7433155080213903,1,71.92834861383123,4961,2060,0.36363636363636365,0.0008844411321314336,139,187
#,0.0,1.0,0.0,#,#,#,#,1.0,1.0,1.0,1.0,0.1894692059725282,0.7169811320754716,1,71.67310062586411,4815,2076,0.5454545454545454,0.0008813025668257858,38,53
#,1.0,0.0,#,#,1.0,#,#,#,1.0,#,1.0,1.0,1.0,11,76.6447257872629,4980,2084,0.36363636363636365,0.010366778090825035,171,171
#,#,0.0,#,#,1.0,#,1.0,1.0,#,0.0,1.0,0.21871664623665604,0.7378640776699029,1,74.89123400407803,4980,2084,0.45454545454545453,0.0009208731893025844,76,103
#,0.0,1.0,1.0,0.0,#,#,0.0,#,1.0,#,0.0,0.3572711466646851,0.813953488372093,1,64.10545369529139,4884,2095,0.5454545454545454,0.0007882497114796856,35,43
1.0,#,#,#,#,#,#,1.0,#,#,#,1.0,0.0900448204447158,0.6178623718887262,1,73.65474579229152,4997,2101,0.18181818181818182,0.0009322741497530193,422,683
0.0,1.0,#,#,#,1.0,#,#,#,#,0.0,1.0,0.2679145340149969,0.7684210526315789,1,74.09239176606263,4980,2122,0.36363636363636365,0.0009110505123330636,146,190
1.0,#,#,1.0,1.0,#,1.0,#,0.0,0.0,0.0,0.0,0.5734249721032963,0.8947368421052632,1,69.7807505210409,4810,2134,0.6363636363636364,0.0008580339627030291,17,19
#,1.0,0.0,#,#,0.0,#,#,1.0,#,#,0.0,0.2800885920510908,0.7752808988764045,1,75.65998191694533,4976,2151,0.36363636363636365,0.0009303258222002245,138,178
#,#,0.0,#,#,1.0,#,#,#,1.0,#,1.0,0.26120803348669874,0.7645348837209303,1,66.10299857631387,4980,2158,0.2727272727272727,0.0008128118054259819,263,344
1.0,#,0.0,#,#,1.0,#,#,#,0.0,#,0.0,0.26661954836084967,0.7676767676767676,1,66.42576275182739,4954,2163,0.36363636363636365,0.0008167805593081995,152,198
1.0,#,#,#,#,#,#,0.0,#,0.0,#,0.0,0.2384023021266854,0.7506925207756233,1,70.69538343152084,4954,2163,0.2727272727272727,0.0008692804181328983,271,361
0.0,0.0,#,#,1.0,#,#,#,#,#,#,1.0,0.21208362139917689,0.7333333333333333,1,66.69549817885637,4961,2165,0.2727272727272727,0.0008200972642104388,264,360
