Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
69,,,43,45,4,2,60.0,0,0,0,0,0,0.0089569091796875,0.0025997161865234375,6.318092346191406e-05,0.0002925395965576172,9.131431579589844e-05,0.003451824188232422
70,,,44,47,1,1,70.0,0,0,1,0,0,0.009186983108520508,0.002656698226928711,6.437301635742188e-05,0.0003266334533691406,0.00010347366333007812,0.003496885299682617
71,,,46,49,2,1,71.0,0,0,2,0,0,0.009443044662475586,0.0027167797088623047,6.556510925292969e-05,0.0003795623779296875,0.00011467933654785156,0.003550291061401367
72,,,47,51,4,3,72.0,0,0,1,0,0,0.009721994400024414,0.0027818679809570312,6.67572021484375e-05,0.0004267692565917969,0.0001308917999267578,0.003607034683227539
73,,,47,51,2,2,60.0,0,0,0,0,0,0.009868144989013672,0.002846956253051758,6.67572021484375e-05,0.00042891502380371094,0.0001308917999267578,0.0036611557006835938
74,,,49,53,4,2,74.0,0,1,1,0,0,0.010175943374633789,0.0029129981994628906,6.747245788574219e-05,0.0004856586456298828,0.0001480579376220703,0.003714323043823242
75,,,49,53,4,2,60.0,0,0,0,0,0,0.010328054428100586,0.0029768943786621094,6.866455078125e-05,0.0004875659942626953,0.0001480579376220703,0.003769397735595703
76,,,50,55,1,1,76.0,0,0,1,0,0,0.010567903518676758,0.003042936325073242,6.985664367675781e-05,0.0005228519439697266,0.0001590251922607422,0.003817319869995117
77,,,50,55,5,4,54.8,0,0,0,0,0,0.010737895965576172,0.0031168460845947266,7.081031799316406e-05,0.0005257129669189453,0.0001590251922607422,0.003873109817504883
78,,,50,55,4,1,58.0,0,0,0,0,0,0.010887861251831055,0.0031855106353759766,7.176399230957031e-05,0.0005278587341308594,0.0001590251922607422,0.003923177719116211
79,,,51,56,3,1,79.0,0,0,0,1,0,0.01104593276977539,0.0032553672790527344,7.176399230957031e-05,0.0005297660827636719,0.0001590251922607422,0.0039713382720947266
80,,,51,56,5,3,64.66666666666667,0,0,0,0,0,0.011203765869140625,0.0033261775970458984,7.295608520507812e-05,0.0005314350128173828,0.0001590251922607422,0.004022121429443359
81,,,51,56,3,2,60.0,0,0,0,0,0,0.011347055435180664,0.003393411636352539,7.390975952148438e-05,0.0005335807800292969,0.0001590251922607422,0.0040700435638427734
82,,,51,56,2,1,71.0,0,0,0,0,0,0.011486053466796875,0.0034623146057128906,7.462501525878906e-05,0.0005354881286621094,0.0001590251922607422,0.004117250442504883
83,,,51,56,5,4,74.0,0,0,0,0,0,0.01164698600769043,0.0035352706909179688,7.534027099609375e-05,0.0005385875701904297,0.0001590251922607422,0.004166364669799805
84,,,52,57,2,1,84.0,0,0,0,1,0,0.011807918548583984,0.003611326217651367,7.62939453125e-05,0.0005407333374023438,0.0001590251922607422,0.0042133331298828125
85,,,53,59,5,3,85.0,0,0,1,0,0,0.01208806037902832,0.0036792755126953125,7.724761962890625e-05,0.0005872249603271484,0.00017595291137695312,0.004264354705810547
86,,,53,59,6,4,67.0,0,0,0,0,0,0.012262821197509766,0.0037512779235839844,7.82012939453125e-05,0.0005900859832763672,0.00017595291137695312,0.004325389862060547
87,,,53,59,4,2,82.0,0,0,0,0,0,0.012423038482666016,0.003828287124633789,7.915496826171875e-05,0.0005922317504882812,0.00017595291137695312,0.0043756961822509766
88,,,54,60,4,1,88.0,0,0,0,1,0,0.012586116790771484,0.003899097442626953,8.0108642578125e-05,0.0005941390991210938,0.00017595291137695312,0.004426479339599609
89,,,55,61,4,1,89.0,0,0,0,1,0,0.01275181770324707,0.003973960876464844,8.106231689453125e-05,0.0005962848663330078,0.00017595291137695312,0.004477739334106445
90,,,55,61,3,2,85.0,0,0,0,0,0,0.01289987564086914,0.004044055938720703,8.225440979003906e-05,0.0005979537963867188,0.00017595291137695312,0.004526853561401367
91,,,56,62,3,1,91.0,0,0,0,1,0,0.01306915283203125,0.004125118255615234,8.320808410644531e-05,0.0005996227264404297,0.00017595291137695312,0.004575967788696289
92,,,57,64,2,1,92.0,0,0,1,0,0,0.013323068618774414,0.004199981689453125,8.416175842285156e-05,0.0006477832794189453,0.0001876354217529297,0.0046234130859375
93,,,57,64,4,4,82.42857142857143,0,0,0,0,0,0.013490915298461914,0.0042781829833984375,8.535385131835938e-05,0.0006508827209472656,0.0001876354217529297,0.004677295684814453
94,,,57,64,3,1,74.0,0,0,0,0,0,0.013646841049194336,0.004358053207397461,8.630752563476562e-05,0.0006530284881591797,0.0001876354217529297,0.004726409912109375
95,,,58,65,2,1,95.0,0,0,0,1,0,0.013810873031616211,0.004439115524291992,8.726119995117188e-05,0.0006551742553710938,0.0001876354217529297,0.004773378372192383
96,,,59,66,1,1,96.0,0,0,0,1,0,0.013968944549560547,0.004518985748291016,8.821487426757812e-05,0.0006561279296875,0.0001876354217529297,0.004818439483642578
97,,,59,66,4,1,97.0,0,0,0,0,0,0.014188051223754883,0.004599809646606445,8.940696716308594e-05,0.0006580352783203125,0.0001995563507080078,0.004868745803833008
98,,,61,68,6,3,98.0,0,0,2,0,0,0.014503955841064453,0.0046808719635009766,9.036064147949219e-05,0.0007226467132568359,0.00021529197692871094,0.004923582077026367
99,0.61,0.5612648221343872,62,69,3,1,99.0,0,0,0,1,0,0.014729976654052734,0.004761695861816406,9.131431579589844e-05,0.00072479248046875,0.00021529197692871094,0.0049784183502197266
100,,,63,71,4,1,100.0,0,0,1,0,0,0.61820387840271,0.00484776496887207,9.322166442871094e-05,0.000782012939453125,0.0002372264862060547,0.6082334518432617
101,,,63,71,5,4,85.66666666666667,0,0,0,0,0,0.6183948516845703,0.004926919937133789,9.441375732421875e-05,0.0007848739624023438,0.0002372264862060547,0.6083064079284668
102,,,64,72,4,1,102.0,0,0,0,1,0,0.618582010269165,0.005015850067138672,9.560585021972656e-05,0.0007870197296142578,0.0002372264862060547,0.6083593368530273
103,,,65,74,3,2,103.0,0,0,1,0,0,0.6188769340515137,0.00510096549987793,9.655952453613281e-05,0.0008485317230224609,0.0002551078796386719,0.6084084510803223
104,,,65,74,5,2,98.0,0,0,0,0,0,0.6190531253814697,0.005185842514038086,9.751319885253906e-05,0.0008513927459716797,0.0002551078796386719,0.6084654331207275
105,,,65,74,3,2,85.0,0,0,0,0,0,0.6192147731781006,0.0052678585052490234,9.846687316894531e-05,0.0008533000946044922,0.0002551078796386719,0.6085166931152344
106,,,65,74,5,4,106.0,0,0,0,0,0,0.6194701194763184,0.005360841751098633,9.942054748535156e-05,0.0008563995361328125,0.0002732276916503906,0.6085669994354248
